map_id,seed,episode,boredom,obstacle
simple,0,600,0.8,"(4, 0)"
simple,0,900,0.6666666666666667,"(0, 4)"
simple,1,300,0.6666666666666667,"(0, 4)"
simple,1,600,0.6666666666666667,"(2, 2)"
simple,2,500,0.6555555555555556,"(0, 4)"
simple,2,800,0.6666666666666667,"(2, 2)"
simple,3,500,0.6777777777777778,"(2, 2)"
simple,3,800,0.6666666666666667,"(4, 0)"
simple,3,1100,0.6666666666666667,"(1, 4)"
simple,4,300,0.6666666666666667,"(0, 4)"
simple,4,600,0.6666666666666667,"(2, 2)"
simple,5,400,0.6666666666666667,"(4, 0)"
simple,5,700,0.6666666666666667,"(0, 4)"
simple,6,300,0.6666666666666667,"(2, 2)"
simple,6,600,0.6666666666666667,"(0, 4)"
simple,7,500,0.6555555555555556,"(0, 4)"
simple,7,800,0.6666666666666667,"(2, 2)"
simple,8,300,0.6666666666666667,"(0, 4)"
simple,8,600,0.6666666666666667,"(2, 2)"
simple,9,300,0.6666666666666667,"(2, 2)"
simple,9,600,0.6666666666666667,"(0, 4)"
simple,10,600,0.8,"(4, 0)"
simple,10,900,0.6666666666666667,"(2, 2)"
simple,10,1200,0.6666666666666667,"(1, 4)"
simple,11,300,0.6666666666666667,"(0, 4)"
simple,11,600,0.6666666666666667,"(2, 2)"
simple,12,600,0.8,"(4, 0)"
simple,12,900,0.6666666666666667,"(0, 4)"
simple,13,300,0.6666666666666667,"(0, 4)"
simple,13,600,0.6666666666666667,"(2, 2)"
simple,14,400,0.6666666666666667,"(0, 4)"
simple,14,700,0.6666666666666667,"(2, 2)"
simple,15,500,0.6555555555555556,"(0, 4)"
simple,15,800,0.6666666666666667,"(4, 0)"
simple,16,500,0.6777777777777778,"(4, 0)"
simple,16,800,0.6666666666666667,"(2, 2)"
simple,16,1100,0.6666666666666667,"(0, 5)"
simple,17,400,0.6666666666666667,"(0, 4)"
simple,17,700,0.6666666666666667,"(2, 2)"
simple,18,400,0.6666666666666667,"(4, 0)"
simple,18,700,0.6666666666666667,"(2, 2)"
simple,18,1000,0.6666666666666667,"(1, 4)"
simple,19,500,0.6777777777777778,"(0, 4)"
simple,19,800,0.6666666666666667,"(2, 2)"
medium,0,400,0.6805555555555556,"(0, 4)"
medium,0,700,0.6666666666666667,"(1, 3)"
medium,0,1000,0.6666666666666667,"(3, 1)"
medium,1,600,0.8,"(0, 4)"
medium,1,900,0.6666666666666667,"(1, 3)"
medium,1,1200,0.6666666666666667,"(3, 1)"
medium,2,400,0.7083333333333333,"(0, 4)"
medium,2,700,0.6666666666666667,"(1, 3)"
medium,2,1000,0.6666666666666667,"(3, 1)"
medium,3,400,0.7222222222222222,"(1, 3)"
medium,3,700,0.6666666666666667,"(0, 4)"
medium,3,1000,0.6666666666666667,"(3, 1)"
medium,4,400,0.6944444444444444,"(0, 4)"
medium,4,700,0.6666666666666667,"(1, 3)"
medium,4,1000,0.6666666666666667,"(3, 1)"
medium,5,400,0.7083333333333333,"(0, 4)"
medium,5,700,0.6666666666666667,"(1, 3)"
medium,5,1000,0.6666666666666667,"(3, 1)"
medium,6,400,0.7222222222222222,"(0, 4)"
medium,6,700,0.6666666666666667,"(1, 3)"
medium,6,1000,0.6666666666666667,"(3, 1)"
medium,7,400,0.7083333333333333,"(1, 3)"
medium,7,700,0.6666666666666667,"(0, 4)"
medium,7,1000,0.6666666666666667,"(3, 1)"
medium,8,400,0.7083333333333333,"(0, 4)"
medium,8,700,0.6666666666666667,"(1, 3)"
medium,8,1000,0.6666666666666667,"(3, 1)"
medium,9,400,0.6666666666666667,"(1, 3)"
medium,9,700,0.6666666666666667,"(0, 4)"
medium,9,1000,0.6666666666666667,"(3, 1)"
medium,10,500,0.7111111111111111,"(1, 3)"
medium,10,800,0.6666666666666667,"(0, 4)"
medium,10,1100,0.6666666666666667,"(3, 1)"
medium,11,400,0.6666666666666667,"(1, 3)"
medium,11,700,0.6666666666666667,"(0, 4)"
medium,11,1000,0.6666666666666667,"(3, 1)"
medium,12,400,0.6891891891891893,"(0, 4)"
medium,12,700,0.6666666666666667,"(1, 3)"
medium,12,1000,0.6666666666666667,"(3, 1)"
medium,13,400,0.7222222222222222,"(0, 4)"
medium,13,700,0.6666666666666667,"(1, 3)"
medium,13,1000,0.6666666666666667,"(4, 0)"
medium,14,500,0.7111111111111111,"(0, 4)"
medium,14,800,0.6666666666666667,"(1, 3)"
medium,14,1100,0.6666666666666667,"(4, 0)"
medium,15,600,0.8,"(1, 3)"
medium,15,900,0.6666666666666667,"(0, 4)"
medium,15,1200,0.6666666666666667,"(3, 1)"
medium,16,400,0.7222222222222222,"(1, 3)"
medium,16,700,0.6666666666666667,"(0, 4)"
medium,16,1000,0.6666666666666667,"(3, 1)"
medium,17,300,0.6666666666666667,"(0, 4)"
medium,17,600,0.6666666666666667,"(1, 3)"
medium,17,900,0.6666666666666667,"(3, 1)"
medium,18,400,0.7222222222222222,"(1, 3)"
medium,18,700,0.6666666666666667,"(0, 4)"
medium,18,1000,0.6666666666666667,"(3, 1)"
medium,19,400,0.6666666666666667,"(0, 4)"
medium,19,700,0.6666666666666667,"(1, 3)"
medium,19,1000,0.6666666666666667,"(3, 1)"
hard,0,300,0.6666666666666667,"(4, 0)"
hard,1,300,0.6666666666666667,"(0, 4)"
hard,2,300,0.6666666666666667,"(4, 0)"
hard,3,300,0.6666666666666667,"(0, 4)"
hard,4,300,0.6666666666666667,"(0, 4)"
hard,5,300,0.6666666666666667,"(4, 0)"
hard,6,300,0.6666666666666667,"(4, 0)"
